
Linux x86_64,Linux x86_64,4,Not Available,Intel,Intel(R) HD Graphics 400,1920x1080,Firefox/100.0,205.254.172.126,Asia,India,Delhi,New Delhi,Excitel Broadband Pvt Ltd,Excitel Broadband Private Limited,28.6654464 deg,77.3259264 deg,7528.644247234066 m,Not Available,Not Available,Not Available
Intel Mac OS X 10_13_6,MacIntel,Not Available,Not Available,Intel Inc.,Intel(R) HD Graphics 6000,1440x900,Safari/605.1.15,103.77.153.137,Asia,India,Maharashtra,Mumbai,Intech Infosolutions,Intech Online Private Limited,17.695803550723284 deg,73.99733733999997 deg,123.96660334180913 m,Not Available,Not Available,Not Available
Intel Mac OS X 10_13_6,MacIntel,Not Available,Not Available,Intel Inc.,Intel(R) HD Graphics 6000,1440x900,Safari/605.1.15,103.137.155.231,Asia,India,Maharashtra,Mumbai,Io Network Pvt. Ltd.,Intech Online Private Limited,17.695801849207054 deg,73.99733733999997 deg,65 m,Not Available,Not Available,Not Available
CPU iPhone OS 15_5 like Mac OS X,iPhone,4,Not Available,Apple Inc.,Apple GPU,428x926,Safari/604.1,2a02:26f7:d6cc:6807:0:2ba6:ccc4:af24,Asia,India,Puducherry,Puducherry,Akamai International B.V.,"Akamai Technologies, Inc.",15.29894735928147 deg,73.91906662305786 deg,35 m,26.886110305786133 m,Not Available,Not Available
Intel Mac OS X 10_13_6,MacIntel,Not Available,Not Available,Intel Inc.,Intel(R) HD Graphics 6000,1440x900,Safari/605.1.15,103.137.155.231,Asia,India,Maharashtra,Mumbai,Io Network Pvt. Ltd.,Intech Online Private Limited
17.695801854022974 deg,73.99733733999997 deg,65 m,Not Available,Not Available,Not Available
17.695801849515266 deg,73.99733733999997 deg,65 m,Not Available,Not Available,Not Available
17.69580184921892 deg,73.99733733999997 deg,65 m,Not Available,Not Available,Not Available
17.69580184922284 deg,73.99733733999997 deg,65 m,Not Available,Not Available,Not Available
17.695801849225152 deg,73.99733733999997 deg,65 m,Not Available,Not Available,Not Available
